brand,model,top_speed_kmh,battery_capacity_kWh,number_of_cells,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,towing_capacity_kg,cargo_volume_l,seats,drivetrain,segment,length_mm,width_mm,height_mm,car_body_type,source_url
Peugeot,e-Rifter M 50 kWh,132,50.0,216.0,270.0,152,235,11.7,80.0,CCS,750.0,775.0,5,FWD,N - Passenger Van,4403,1921,1818,Small Passenger Van,https://ev-database.org/car/2163/Peugeot-e-Rifter-M-50-kWh
Peugeot,e-Rifter XL 50 kWh,132,50.0,216.0,270.0,153,230,11.7,80.0,CCS,750.0,1050.0,7,FWD,N - Passenger Van,4755,1921,1837,Small Passenger Van,https://ev-database.org/car/2164/Peugeot-e-Rifter-XL-50-kWh
Peugeot,e-Traveller L2 50 kWh,130,46.3,216.0,270.0,217,180,13.3,78.0,CCS,1000.0,603.0,9,FWD,N - Passenger Van,4983,1920,1890,Small Passenger Van,https://ev-database.org/car/2256/Peugeot-e-Traveller-L2-50-kWh
Peugeot,e-Traveller L2 75 kWh,130,68.0,324.0,270.0,202,260,14.2,79.0,CCS,1000.0,603.0,9,FWD,N - Passenger Van,4983,1920,1890,Small Passenger Van,https://ev-database.org/car/2258/Peugeot-e-Traveller-L2-75-kWh
Peugeot,e-Traveller L3 50 kWh,130,46.3,216.0,270.0,219,180,13.3,78.0,CCS,1000.0,989.0,9,FWD,N - Passenger Van,5333,1920,1890,Small Passenger Van,https://ev-database.org/car/2257/Peugeot-e-Traveller-L3-50-kWh
Peugeot,e-Traveller L3 75 kWh,130,68.0,324.0,270.0,204,260,14.2,79.0,CCS,1000.0,989.0,9,FWD,N - Passenger Van,5333,1920,1890,Small Passenger Van,https://ev-database.org/car/2259/Peugeot-e-Traveller-L3-75-kWh
Polestar,2 Long Range Dual Motor (MY26),205,79.0,324.0,740.0,142,455,4.5,125.0,CCS,1500.0,407.0,5,AWD,D - Large,4606,1859,1479,Liftback Sedan,https://ev-database.org/car/3152/Polestar-2-Long-Range-Dual-Motor
Polestar,2 Long Range Performance (MY26),205,79.0,324.0,740.0,142,450,4.2,125.0,CCS,1500.0,407.0,5,AWD,D - Large,4606,1859,1473,Liftback Sedan,https://ev-database.org/car/3153/Polestar-2-Long-Range-Performance
Polestar,2 Long Range Single Motor (MY26),205,79.0,324.0,490.0,130,475,6.2,125.0,CCS,1500.0,407.0,5,RWD,D - Large,4606,1859,1479,Liftback Sedan,https://ev-database.org/car/3151/Polestar-2-Long-Range-Single-Motor
Polestar,2 Standard Range Single Motor (MY26),205,67.0,216.0,490.0,129,405,6.4,110.0,CCS,1500.0,407.0,5,RWD,D - Large,4606,1859,1479,Liftback Sedan,https://ev-database.org/car/3150/Polestar-2-Standard-Range-Single-Motor
Polestar,3 Long Range Dual motor,210,107.0,204.0,840.0,183,515,5.0,150.0,CCS,2200.0,484.0,5,AWD,JE - Executive,4900,1968,1614,SUV,https://ev-database.org/car/1758/Polestar-3-Long-Range-Dual-motor
Polestar,3 Long Range Performance,210,107.0,204.0,910.0,194,495,4.7,150.0,CCS,2200.0,484.0,5,AWD,JE - Executive,4900,1968,1614,SUV,https://ev-database.org/car/1759/Polestar-3-Long-Range-Performance
Polestar,3 Long Range Single motor,180,107.0,204.0,490.0,166,530,7.8,150.0,CCS,1500.0,484.0,5,RWD,JE - Executive,4900,1968,1614,SUV,https://ev-database.org/car/2229/Polestar-3-Long-Range-Single-motor
Polestar,4 Long Range Dual Motor,200,94.0,110.0,686.0,165,485,3.8,135.0,CCS,2000.0,526.0,5,AWD,E - Executive,4839,2008,1544,Liftback Sedan,https://ev-database.org/car/1842/Polestar-4-Long-Range-Dual-Motor
Polestar,4 Long Range Single Motor,180,94.0,110.0,343.0,157,495,7.4,135.0,CCS,1500.0,526.0,5,RWD,E - Executive,4839,2008,1544,Liftback Sedan,https://ev-database.org/car/1841/Polestar-4-Long-Range-Single-Motor
Porsche,Macan 4 Electric,220,95.0,180.0,650.0,184,470,5.2,200.0,CCS,2000.0,540.0,5,AWD,JD - Large,4784,1938,1622,SUV,https://ev-database.org/car/2084/Porsche-Macan-4-Electric
Porsche,Macan 4S Electric,240,95.0,180.0,820.0,186,470,4.1,200.0,CCS,2000.0,540.0,5,AWD,JD - Large,4784,1938,1622,SUV,https://ev-database.org/car/2244/Porsche-Macan-4S-Electric
Porsche,Macan Electric,220,95.0,180.0,563.0,177,495,5.7,200.0,CCS,2000.0,540.0,5,RWD,JD - Large,4784,1938,1623,SUV,https://ev-database.org/car/2083/Porsche-Macan-Electric
Porsche,Macan Turbo Electric,260,95.0,180.0,1001.0,183,460,3.3,200.0,CCS,2000.0,480.0,5,AWD,JD - Large,4784,1938,1621,SUV,https://ev-database.org/car/2085/Porsche-Macan-Turbo-Electric
Porsche,Taycan,230,82.3,216.0,410.0,164,495,4.8,195.0,CCS,0.0,407.0,5,RWD,F - Luxury,4963,1966,1379,Sedan,https://ev-database.org/car/2098/Porsche-Taycan
Porsche,Taycan 4,230,82.3,216.0,585.0,172,490,4.6,195.0,CCS,0.0,407.0,5,AWD,F - Luxury,4963,1966,1379,Sedan,https://ev-database.org/car/3060/Porsche-Taycan-4
Porsche,Taycan 4 Cross Turismo,220,97.0,396.0,610.0,188,510,4.7,281.0,CCS,0.0,446.0,5,AWD,F - Luxury,4974,1967,1409,Station/Estate,https://ev-database.org/car/2110/Porsche-Taycan-4-Cross-Turismo
Porsche,Taycan 4 Plus,230,97.0,396.0,610.0,175,565,4.6,281.0,CCS,0.0,407.0,5,AWD,F - Luxury,4963,1966,1379,Sedan,https://ev-database.org/car/3061/Porsche-Taycan-4-Plus
Porsche,Taycan 4S,250,82.3,216.0,695.0,174,490,3.7,195.0,CCS,0.0,407.0,5,AWD,F - Luxury,4963,1966,1379,Sedan,https://ev-database.org/car/2100/Porsche-Taycan-4S
Porsche,Taycan 4S Cross Turismo,240,97.0,396.0,710.0,188,510,3.8,281.0,CCS,0.0,446.0,5,AWD,F - Luxury,4974,1967,1409,Station/Estate,https://ev-database.org/car/2111/Porsche-Taycan-4S-Cross-Turismo
Porsche,Taycan 4S Plus,250,97.0,396.0,710.0,177,565,3.7,281.0,CCS,0.0,407.0,5,AWD,F - Luxury,4963,1966,1379,Sedan,https://ev-database.org/car/2101/Porsche-Taycan-4S-Plus
Porsche,Taycan 4S Plus Sport Turismo,250,97.0,396.0,710.0,186,510,3.7,281.0,CCS,0.0,446.0,5,AWD,F - Luxury,4963,1966,1390,Station/Estate,https://ev-database.org/car/2107/Porsche-Taycan-4S-Plus-Sport-Turismo
Porsche,Taycan 4S Sport Turismo,250,82.3,216.0,695.0,183,440,3.7,195.0,CCS,0.0,446.0,5,AWD,F - Luxury,4963,1966,1390,Station/Estate,https://ev-database.org/car/2106/Porsche-Taycan-4S-Sport-Turismo
Porsche,Taycan GTS,250,97.0,396.0,790.0,176,535,3.3,281.0,CCS,0.0,366.0,5,AWD,F - Luxury,4963,1966,1381,Sedan,https://ev-database.org/car/3062/Porsche-Taycan-GTS
Porsche,Taycan GTS Sport Turismo,250,97.0,396.0,790.0,185,505,3.3,281.0,CCS,0.0,405.0,5,AWD,F - Luxury,4963,1966,1392,Station/Estate,https://ev-database.org/car/3063/Porsche-Taycan-GTS-Sport-Turismo
Porsche,Taycan Plus,230,97.0,396.0,420.0,168,575,4.8,281.0,CCS,0.0,407.0,5,RWD,F - Luxury,4963,1966,1379,Sedan,https://ev-database.org/car/2099/Porsche-Taycan-Plus
Porsche,Taycan Plus Sport Turismo,230,97.0,396.0,420.0,176,530,4.8,281.0,CCS,0.0,446.0,5,RWD,F - Luxury,4963,1966,1390,Station/Estate,https://ev-database.org/car/2105/Porsche-Taycan-Plus-Sport-Turismo
Porsche,Taycan Sport Turismo,230,82.3,216.0,410.0,173,460,4.8,195.0,CCS,0.0,446.0,5,RWD,F - Luxury,4963,1966,1390,Station/Estate,https://ev-database.org/car/2104/Porsche-Taycan-Sport-Turismo
Porsche,Taycan Turbo,260,97.0,396.0,940.0,174,535,2.7,281.0,CCS,0.0,366.0,5,AWD,F - Luxury,4963,1966,1379,Sedan,https://ev-database.org/car/2102/Porsche-Taycan-Turbo
Porsche,Taycan Turbo Cross Turismo,250,97.0,396.0,940.0,188,495,2.8,281.0,CCS,0.0,405.0,5,AWD,F - Luxury,4974,1967,1412,Station/Estate,https://ev-database.org/car/2112/Porsche-Taycan-Turbo-Cross-Turismo
Porsche,Taycan Turbo GT,290,97.0,396.0,1340.0,184,475,2.3,281.0,CCS,0.0,326.0,5,AWD,F - Luxury,4968,1966,1378,Sedan,https://ev-database.org/car/2144/Porsche-Taycan-Turbo-GT
Porsche,Taycan Turbo GT Weissach,305,97.0,396.0,1340.0,180,475,2.2,281.0,CCS,0.0,367.0,2,AWD,F - Luxury,4968,1966,1378,Sedan,https://ev-database.org/car/2145/Porsche-Taycan-Turbo-GT-Weissach
Porsche,Taycan Turbo S,260,97.0,396.0,1110.0,174,525,2.4,281.0,CCS,0.0,366.0,5,AWD,F - Luxury,4963,1966,1378,Sedan,https://ev-database.org/car/2103/Porsche-Taycan-Turbo-S
Porsche,Taycan Turbo S Cross Turismo,250,97.0,396.0,1110.0,188,485,2.5,281.0,CCS,0.0,405.0,5,AWD,F - Luxury,4974,1967,1407,Station/Estate,https://ev-database.org/car/2113/Porsche-Taycan-Turbo-S-Cross-Turismo
